,City,Country,Long,Lat,date,type,value
126," Montreal, QC",Canada,-73.5673,45.5017,2020-02-22,recovered,0
127," Montreal, QC",Canada,-73.5673,45.5017,2020-02-22,currently ill,0
128," Montreal, QC",Canada,-73.5673,45.5017,2020-02-23,confirmed,0
129," Montreal, QC",Canada,-73.5673,45.5017,2020-02-23,died,0
130," Montreal, QC",Canada,-73.5673,45.5017,2020-02-23,recovered,0
131," Montreal, QC",Canada,-73.5673,45.5017,2020-02-23,currently ill,0
132," Montreal, QC",Canada,-73.5673,45.5017,2020-02-24,confirmed,0
133," Montreal, QC",Canada,-73.5673,45.5017,2020-02-24,died,0
134," Montreal, QC",Canada,-73.5673,45.5017,2020-02-24,recovered,0
135," Montreal, QC",Canada,-73.5673,45.5017,2020-02-24,currently ill,0
136," Montreal, QC",Canada,-73.5673,45.5017,2020-02-25,confirmed,0
137," Montreal, QC",Canada,-73.5673,45.5017,2020-02-25,died,0
138," Montreal, QC",Canada,-73.5673,45.5017,2020-02-25,recovered,0
139," Montreal, QC",Canada,-73.5673,45.5017,2020-02-25,currently ill,0
140," Montreal, QC",Canada,-73.5673,45.5017,2020-02-26,confirmed,0
141," Montreal, QC",Canada,-73.5673,45.5017,2020-02-26,died,0
142," Montreal, QC",Canada,-73.5673,45.5017,2020-02-26,recovered,0
143," Montreal, QC",Canada,-73.5673,45.5017,2020-02-26,currently ill,0
144," Montreal, QC",Canada,-73.5673,45.5017,2020-02-27,confirmed,0
145," Montreal, QC",Canada,-73.5673,45.5017,2020-02-27,died,0
146," Montreal, QC",Canada,-73.5673,45.5017,2020-02-27,recovered,0
147," Montreal, QC",Canada,-73.5673,45.5017,2020-02-27,currently ill,0
148," Montreal, QC",Canada,-73.5673,45.5017,2020-02-28,confirmed,1
149," Montreal, QC",Canada,-73.5673,45.5017,2020-02-28,died,0
150," Montreal, QC",Canada,-73.5673,45.5017,2020-02-28,recovered,0
151," Montreal, QC",Canada,-73.5673,45.5017,2020-02-28,currently ill,1
152," Montreal, QC",Canada,-73.5673,45.5017,2020-02-29,confirmed,1
153," Montreal, QC",Canada,-73.5673,45.5017,2020-02-29,died,0
154," Montreal, QC",Canada,-73.5673,45.5017,2020-02-29,recovered,0
155," Montreal, QC",Canada,-73.5673,45.5017,2020-02-29,currently ill,1
156," Montreal, QC",Canada,-73.5673,45.5017,2020-03-01,confirmed,1
157," Montreal, QC",Canada,-73.5673,45.5017,2020-03-01,died,0
158," Montreal, QC",Canada,-73.5673,45.5017,2020-03-01,recovered,0
159," Montreal, QC",Canada,-73.5673,45.5017,2020-03-01,currently ill,1
160," Montreal, QC",Canada,-73.5673,45.5017,2020-03-02,confirmed,1
161," Montreal, QC",Canada,-73.5673,45.5017,2020-03-02,died,0
162," Montreal, QC",Canada,-73.5673,45.5017,2020-03-02,recovered,0
163," Montreal, QC",Canada,-73.5673,45.5017,2020-03-02,currently ill,1
164," Montreal, QC",Canada,-73.5673,45.5017,2020-03-03,confirmed,1
165," Montreal, QC",Canada,-73.5673,45.5017,2020-03-03,died,0
166," Montreal, QC",Canada,-73.5673,45.5017,2020-03-03,recovered,0
167," Montreal, QC",Canada,-73.5673,45.5017,2020-03-03,currently ill,1
168," Norfolk County, MA",US,-71.1449,42.1767,2020-01-22,confirmed,0
169," Norfolk County, MA",US,-71.1449,42.1767,2020-01-22,died,0
170," Norfolk County, MA",US,-71.1449,42.1767,2020-01-22,recovered,0
171," Norfolk County, MA",US,-71.1449,42.1767,2020-01-22,currently ill,0
172," Norfolk County, MA",US,-71.1449,42.1767,2020-01-23,confirmed,0
173," Norfolk County, MA",US,-71.1449,42.1767,2020-01-23,died,0
174," Norfolk County, MA",US,-71.1449,42.1767,2020-01-23,recovered,0
175," Norfolk County, MA",US,-71.1449,42.1767,2020-01-23,currently ill,0
176," Norfolk County, MA",US,-71.1449,42.1767,2020-01-24,confirmed,0
177," Norfolk County, MA",US,-71.1449,42.1767,2020-01-24,died,0
178," Norfolk County, MA",US,-71.1449,42.1767,2020-01-24,recovered,0
179," Norfolk County, MA",US,-71.1449,42.1767,2020-01-24,currently ill,0
180," Norfolk County, MA",US,-71.1449,42.1767,2020-01-25,confirmed,0
181," Norfolk County, MA",US,-71.1449,42.1767,2020-01-25,died,0
182," Norfolk County, MA",US,-71.1449,42.1767,2020-01-25,recovered,0
183," Norfolk County, MA",US,-71.1449,42.1767,2020-01-25,currently ill,0
184," Norfolk County, MA",US,-71.1449,42.1767,2020-01-26,confirmed,0
185," Norfolk County, MA",US,-71.1449,42.1767,2020-01-26,died,0
186," Norfolk County, MA",US,-71.1449,42.1767,2020-01-26,recovered,0
187," Norfolk County, MA",US,-71.1449,42.1767,2020-01-26,currently ill,0
188," Norfolk County, MA",US,-71.1449,42.1767,2020-01-27,confirmed,0
189," Norfolk County, MA",US,-71.1449,42.1767,2020-01-27,died,0
190," Norfolk County, MA",US,-71.1449,42.1767,2020-01-27,recovered,0
191," Norfolk County, MA",US,-71.1449,42.1767,2020-01-27,currently ill,0
192," Norfolk County, MA",US,-71.1449,42.1767,2020-01-28,confirmed,0
193," Norfolk County, MA",US,-71.1449,42.1767,2020-01-28,died,0
194," Norfolk County, MA",US,-71.1449,42.1767,2020-01-28,recovered,0
195," Norfolk County, MA",US,-71.1449,42.1767,2020-01-28,currently ill,0
196," Norfolk County, MA",US,-71.1449,42.1767,2020-01-29,confirmed,0
197," Norfolk County, MA",US,-71.1449,42.1767,2020-01-29,died,0
198," Norfolk County, MA",US,-71.1449,42.1767,2020-01-29,recovered,0
199," Norfolk County, MA",US,-71.1449,42.1767,2020-01-29,currently ill,0
200," Norfolk County, MA",US,-71.1449,42.1767,2020-01-30,confirmed,0
201," Norfolk County, MA",US,-71.1449,42.1767,2020-01-30,died,0
202," Norfolk County, MA",US,-71.1449,42.1767,2020-01-30,recovered,0
